t_02,sigma_02,t_04,sigma_04,t_06,sigma_06,t_08,sigma_08,t_10,sigma_10
0,25,0,50,0,75,0,100,0,125
0.1,23.60050158,0.1,47.20100315,0.1,70.80150473,0.1,94.4020063,0.1,118.0025079
0.2,22.29126102,0.2,44.58252205,0.2,66.87378307,0.2,89.16504409,0.2,111.4563051
0.3,21.06645734,0.3,42.13291468,0.3,63.19937203,0.3,84.26582937,0.3,105.3322867
0.4,19.92064494,0.4,39.84128989,0.4,59.76193483,0.4,79.68257977,0.4,99.60322471
0.5,18.84872944,0.5,37.69745888,0.5,56.54618832,0.5,75.39491776,0.5,94.2436472
0.6,17.845945,0.6,35.69189,0.6,53.537835,0.6,71.38378,0.6,89.22972499
0.7,16.90783315,0.7,33.8156663,0.7,50.72349945,0.7,67.6313326,0.7,84.53916575
0.8,16.03022296,0.8,32.06044593,0.8,48.09066889,0.8,64.12089185,0.8,80.15111482
0.9,15.2092125,0.9,30.41842501,0.9,45.62763751,0.9,60.83685001,0.9,76.04606252
1,14.44115148,1,28.88230297,1,43.32345445,1,57.76460593,1,72.20575742
1.1,13.72262503,1.1,27.44525007,1.1,41.1678751,1.1,54.89050013,1.1,68.61312517
1.2,13.05043852,1.2,26.10087704,1.2,39.15131556,1.2,52.20175409,1.2,65.25219261
1.3,12.42160334,1.3,24.84320669,1.3,37.26481003,1.3,49.68641338,1.3,62.10801672
1.4,11.83332364,1.4,23.66664729,1.4,35.49997093,1.4,47.33329457,1.4,59.16661821
1.5,11.28298387,1.5,22.56596775,1.5,33.84895162,1.5,45.13193549,1.5,56.41491937
1.6,10.76813717,1.6,21.53627435,1.6,32.30441152,1.6,43.0725487,1.6,53.84068587
1.7,10.28649449,1.7,20.57298898,1.7,30.85948348,1.7,41.14597797,1.7,51.43247246
1.8,9.835914398,1.8,19.6718288,1.8,29.5077432,1.8,39.34365759,1.8,49.17957199
1.9,9.414393573,1.9,18.82878715,1.9,28.24318072,1.9,37.65757429,1.9,47.07196787
2,9.020057897,2,18.04011579,2,27.06017369,2,36.08023159,2,45.10028949
2.1,8.651154118,2.1,17.30230824,2.1,25.95346235,2.1,34.60461647,2.1,43.25577059
2.2,8.306042055,2.2,16.61208411,2.2,24.91812616,2.2,33.22416822,2.2,41.53021027
2.3,7.98318731,2.3,15.96637462,2.3,23.94956193,2.3,31.93274924,2.3,39.91593655
2.4,7.68115444,2.4,15.36230888,2.4,23.04346332,2.4,30.72461776,2.4,38.4057722
2.5,7.398600582,2.5,14.79720116,2.5,22.19580174,2.5,29.59440233,2.5,36.99300291
2.6,7.134269473,2.6,14.26853895,2.6,21.40280842,2.6,28.53707789,2.6,35.67134736
2.7,6.886985874,2.7,13.77397175,2.7,20.66095762,2.7,27.5479435,2.7,34.43492937
2.8,6.655650341,2.8,13.31130068,2.8,19.96695102,2.8,26.62260136,2.8,33.2782517
2.9,6.439234333,2.9,12.87846867,2.9,19.317703,2.9,25.75693733,2.9,32.19617167
3,6.236775646,3,12.47355129,3,18.71032694,3,24.94710258,3,31.18387823
3.1,6.047374131,3.1,12.09474826,3.1,18.14212239,3.1,24.18949652,3.1,30.23687065
3.2,5.87018769,3.2,11.74037538,3.2,17.61056307,3.2,23.48075076,3.2,29.35093845
3.3,5.704428536,3.3,11.40885707,3.3,17.11328561,3.3,22.81771415,3.3,28.52214268
3.4,5.549359691,3.4,11.09871938,3.4,16.64807907,3.4,22.19743876,3.4,27.74679845
3.5,5.404291703,3.5,10.80858341,3.5,16.21287511,3.5,21.61716681,3.5,27.02145851
3.6,5.268579586,3.6,10.53715917,3.6,15.80573876,3.6,21.07431835,3.6,26.34289793
3.7,5.141619954,3.7,10.28323991,3.7,15.42485986,3.7,20.56647981,3.7,25.70809977
3.8,5.02284833,3.8,10.04569666,3.8,15.06854499,3.8,20.09139332,3.8,25.11424165
3.9,4.911736647,3.9,9.823473295,3.9,14.73520994,3.9,19.64694659,3.9,24.55868324
4,4.807790892,4,9.615581783,4,14.42337267,4,19.23116357,4,24.03895446
4.1,4.710548911,4.1,9.421097822,4.1,14.13164673,4.1,18.84219564,4.1,23.55274455
4.2,4.619578359,4.2,9.239156718,4.2,13.85873508,4.2,18.47831344,4.2,23.09789179
4.3,4.534474772,4.3,9.068949544,4.3,13.60342432,4.3,18.13789909,4.3,22.67237386
4.4,4.454859772,4.4,8.909719544,4.4,13.36457932,4.4,17.81943909,4.4,22.27429886
4.5,4.380379384,4.5,8.760758767,4.5,13.14113815,4.5,17.52151753,4.5,21.90189692
4.6,4.31070246,4.6,8.62140492,4.6,12.93210738,4.6,17.24280984,4.6,21.5535123
4.7,4.245519211,4.7,8.491038422,4.7,12.73655763,4.7,16.98207684,4.7,21.22759605
4.8,4.184539826,4.8,8.369079653,4.8,12.55361948,4.8,16.73815931,4.8,20.92269913
4.9,4.127493186,4.9,8.254986372,4.9,12.38247956,4.9,16.50997274,4.9,20.63746593
5,4.074125656,5,8.148251311,5,12.22237697,5,16.29650262,5,20.37062828